"OBJECTID","ID_0","ISO","NAME_0","ID_1","NAME_1","HASC_1","CCN_1","CCA_1","TYPE_1","ENGTYPE_1","NL_NAME_1","VARNAME_1"
1,103,"HUN","Hungary",1,"Bács-Kiskun","HU.BK",NA,"","Megye","County","","Bacs-Bodrog-Kiskun"
2,103,"HUN","Hungary",2,"Békés","HU.BE",NA,"","Megye","County","",""
3,103,"HUN","Hungary",3,"Baranya","HU.BA",NA,"","Megye","County","",""
4,103,"HUN","Hungary",4,"Borsod-Abaúj-Zemplén","HU.BZ",NA,"","Megye","County","",""
5,103,"HUN","Hungary",5,"Budapest","HU.BU",NA,"","Fovaros","Capital City","","Budapeste"
6,103,"HUN","Hungary",6,"Csongrád","HU.CS",NA,"","Megye","County","",""
7,103,"HUN","Hungary",7,"Fejér","HU.FE",NA,"","Megye","County","",""
8,103,"HUN","Hungary",8,"Gyor-Moson-Sopron","HU.GS",NA,"","Megye","County","","Gyor-Sopron"
9,103,"HUN","Hungary",9,"Hajdú-Bihar","HU.HB",NA,"","Megye","County","",""
10,103,"HUN","Hungary",10,"Heves","HU.HE",NA,"","Megye","County","",""
11,103,"HUN","Hungary",11,"Jász-Nagykun-Szolnok","HU.JN",NA,"","Megye","County","",""
12,103,"HUN","Hungary",12,"Komárom-Esztergom","HU.KE",NA,"","Megye","County","","Komarom"
13,103,"HUN","Hungary",13,"Nógrád","HU.NO",NA,"","Megye","County","",""
14,103,"HUN","Hungary",14,"Pest","HU.PE",NA,"","Megye","County","",""
15,103,"HUN","Hungary",15,"Somogy","HU.SO",NA,"","Megye","County","",""
16,103,"HUN","Hungary",16,"Szabolcs-Szatmár-Bereg","HU.SZ",NA,"","Megye","County","","Szabolcs-Szatmár"
17,103,"HUN","Hungary",17,"Tolna","HU.TO",NA,"","Megye","County","",""
18,103,"HUN","Hungary",18,"Vas","HU.VA",NA,"","Megye","County","",""
19,103,"HUN","Hungary",19,"Veszprém","HU.VE",NA,"","Megye","County","",""
20,103,"HUN","Hungary",20,"Zala","HU.ZA",NA,"","Megye","County","",""
